lol ;)	laugh out loud laugh out loud	2	-1	 lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
SERVER-48073 is the correct ticket number	SERVER-48073 is the correct ticket number	1	-1	 SERVER[0] -48073[0] is[0] the[0] correct[0] ticket[0] number[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Unfortunatly the errorcodes.py doesn't have this feature anymore, so there seems to be no way to get the errorcodes in any documentation.https://jira.mongodb.org/browse/DOCS-10757	Unfortunatly the errorcodes.<br>py doesn't have this feature anymore, so there seems to be no way to get the errorcodes in any documentation.<br>https://jira.<br>mongodb.<br>org/browse/DOCS-10757	1	-2	 Unfortunatly[0] the[0] errorcodes[-1] [[Sentence=-2,1=word max, 1-5]] py[0] doesn't[0] have[0] this[0] feature[0] anymore[0] so[0] there[0] seems[0] to[0] be[0] no[0] way[0] to[0] get[0] the[0] errorcodes[-1] in[0] any[0] documentation[0] [[Sentence=-2,1=word max, 1-5]] https[0] ://jira[0] [[Sentence=-1,1=word max, 1-5]] mongodb[0] [[Sentence=-1,1=word max, 1-5]] org/browse/DOCS[0] -10757[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
I think our toolchain should not be that special. I don't think it matters now if we did check, but if it did, that seems like a big problem.	I think our toolchain should not be that special.<br> I don't think it matters now if we did check, but if it did, that seems like a big problem.	2	-2	 I[0] think[0] our[0] toolchain[0] should[0] not[0] be[0] that[0] special[1] [[Sentence=-1,2=word max, 1-5]] I[0] don't[0] think[0] it[0] matters[0] now[0] if[0] we[0] did[0] check[0] but[0] if[0] it[0] did[0] that[0] seems[0] like[1] a[0] big[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
This is basically what I was doing with libc   in third_party. I wonder - perhaps we might be able to unify those approaches so this is less of a "hack" and more of an "intended library injection" tool?	This is basically what I was doing with libc   in third_party.<br> I wonder - perhaps we might be able to unify those approaches so this is less of a "hack" and more of an "intended library injection" tool?	1	-2	 This[0] is[0] basically[0] what[0] I[0] was[0] doing[0] with[0] libc[0] in[0] third_party[0] [[Sentence=-1,1=word max, 1-5]] I[0] wonder[0] perhaps[0] we[0] might[0] be[0] able[0] to[0] unify[0] those[0] approaches[0] so[0] this[0] is[0] less[0] of[0] a[0] hack[-1] and[0] more[0] of[0] an[0] intended[0] library[0] injection[0] tool[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I am leaning more and more into this needing to be a LIBDEPS tag somehow. These all do the same thing but have different names, and they all imply the same exception in LIBDEPS.	I am leaning more and more into this needing to be a LIBDEPS tag somehow.<br> These all do the same thing but have different names, and they all imply the same exception in LIBDEPS.	1	-1	 I[0] am[0] leaning[0] more[0] and[0] more[0] into[0] this[0] needing[0] to[0] be[0] a[0] LIBDEPS[0] tag[0] somehow[0] [[Sentence=-1,1=word max, 1-5]] These[0] all[0] do[0] the[0] same[0] thing[0] but[0] have[0] different[0] names[0] and[0] they[0] all[0] imply[0] the[0] same[0] exception[0] in[0] LIBDEPS[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  @dishytianxiang you can find the documentation for the server parameter here: https://docs.mongodb.com/manual/reference/parameters/#param.oplogInitialFindMaxSeconds   You must set the parameter using [setParameter](https://docs.mongodb.com/manual/reference/parameters/#synopsis).how to confiure for findNetworkTimeout:getMoreNetwork Timeout?i can't find any parameter from ServerParameter?	  @dishytianxiang you can find the documentation for the server parameter here: https://docs.<br>mongodb.<br>com/manual/reference/parameters/#param.<br>oplogInitialFindMaxSeconds   You must set the parameter using [setParameter](https://docs.<br>mongodb.<br>com/manual/reference/parameters/#synopsis)<br>how to confiure for findNetworkTimeout:getMoreNetwork Timeout?<br>i can't find any parameter from ServerParameter?	1	-1	 @dishytianxiang[0] you[0] can[0] find[0] the[0] documentation[0] for[0] the[0] server[0] parameter[0] here[0] https[0] ://docs[0] [[Sentence=-1,1=word max, 1-5]] mongodb[0] [[Sentence=-1,1=word max, 1-5]] com/manual/reference/parameters/#param[0] [[Sentence=-1,1=word max, 1-5]] oplogInitialFindMaxSeconds[0] You[0] must[0] set[0] the[0] parameter[0] using[0] [setParameter][0] https[0] ://docs[0] [[Sentence=-1,1=word max, 1-5]] mongodb[0] [[Sentence=-1,1=word max, 1-5]] com/manual/reference/parameters/#synopsis[0] [[Sentence=-1,1=word max, 1-5]] how[0] to[0] confiure[0] for[0] findNetworkTimeout[0] getMoreNetwork[0] Timeout[0] [[Sentence=-1,1=word max, 1-5]] i[0] can't[0] find[0] any[0] parameter[0] from[0] ServerParameter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
@leoxu8703 Please see the above comment on the Community Google Group. I no longer work at MongoDB, so the likelihood of having your question answered here is exceedingly slim.	@leoxu8703 Please see the above comment on the Community Google Group.<br> I no longer work at MongoDB, so the likelihood of having your question answered here is exceedingly slim.	2	-1	 @leoxu8703[0] Please[1] see[0] the[0] above[0] comment[0] on[0] the[0] Community[0] Google[0] Group[0] [[Sentence=-1,2=word max, 1-5]] I[0] no[0] longer[0] work[0] at[0] MongoDB[0] so[0] the[0] likelihood[0] of[0] having[0] your[0] question[0] answered[0] here[0] is[0] exceedingly[0] slim[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Nice	Nice	2	-1	 Nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice	Nice	2	-1	 Nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
This is for  3.6.23 , not  3.6.18  as the commit message suggests.	This is for  3.6.23 , not  3.6.18  as the commit message suggests.	1	-1	 This[0] is[0] for[0] 3[0] .6[0] .23[0] not[0] 3[0] .6[0] .18[0] as[0] the[0] commit[0] message[0] suggests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
We have a requirement for benchmark testing in the 4.0.10 version.How can we run the benchmark test now without the perf tool?	We have a requirement for benchmark testing in the 4.0.10 version.<br>How can we run the benchmark test now without the perf tool?	1	-1	 We[0] have[0] a[0] requirement[0] for[0] benchmark[0] testing[0] in[0] the[0] 4[0] .0[0] .10[0] version[0] [[Sentence=-1,1=word max, 1-5]] How[0] can[0] we[0] run[0] the[0] benchmark[0] test[0] now[0] without[0] the[0] perf[0] tool[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
@deriamis Why was the python dependency not removed altogether. No file inthe package or rpm scripts in the RPM rely on python that I can tell.	@deriamis Why was the python dependency not removed altogether.<br> No file inthe package or rpm scripts in the RPM rely on python that I can tell.	1	-1	 @deriamis[0] Why[0] was[0] the[0] python[0] dependency[0] not[0] removed[0] altogether[0] [[Sentence=-1,1=word max, 1-5]] No[0] file[0] inthe[0] package[0] or[0] rpm[0] scripts[0] in[0] the[0] RPM[0] rely[0] on[0] python[0] that[0] I[0] can[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  @deriamis Why was the python dependency not removed altogether. No file in the package or rpm scripts in the RPM rely on python that I can tell.The Compass installer is a Python script, so Python should be a dependency at least somewhere here. That said, it does look like the Python dependency was never in the right place anyway - a fact which I missed in my change. I'll make another change to move the dependency down to the  -tools  package where it should be.	  @deriamis Why was the python dependency not removed altogether.<br> No file in the package or rpm scripts in the RPM rely on python that I can tell.<br>The Compass installer is a Python script, so Python should be a dependency at least somewhere here.<br> That said, it does look like the Python dependency was never in the right place anyway - a fact which I missed in my change.<br> I'll make another change to move the dependency down to the  -tools  package where it should be.	2	-2	 @deriamis[0] Why[0] was[0] the[0] python[0] dependency[0] not[0] removed[0] altogether[0] [[Sentence=-1,1=word max, 1-5]] No[0] file[0] in[0] the[0] package[0] or[0] rpm[0] scripts[0] in[0] the[0] RPM[0] rely[0] on[0] python[0] that[0] I[0] can[0] tell[0] [[Sentence=-1,1=word max, 1-5]] The[0] Compass[0] installer[0] is[0] a[0] Python[0] script[0] so[0] Python[0] should[0] be[0] a[0] dependency[0] at[0] least[0] somewhere[0] here[0] [[Sentence=-1,1=word max, 1-5]] That[0] said[0] it[0] does[0] look[0] like[1] the[0] Python[0] dependency[0] was[0] never[0] in[0] the[0] right[0] place[0] anyway[0] a[0] fact[0] which[0] I[0] missed[-1] in[0] my[0] change[0] [[Sentence=-2,2=word max, 1-5]] I'll[0] make[0] another[0] change[0] to[0] move[0] the[0] dependency[0] down[0] to[0] the[0] tools[0] package[0] where[0] it[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
@deriamis Thanks, that makes sense.I was trying to work out where it came from in the first place.	@deriamis Thanks, that makes sense.<br>I was trying to work out where it came from in the first place.	2	-1	 @deriamis[0] Thanks[1] that[0] makes[0] sense[0] [[Sentence=-1,2=word max, 1-5]] I[0] was[0] trying[0] to[0] work[0] out[0] where[0] it[0] came[0] from[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
is scons_cache_scope tag supported in v3.x?	is scons_cache_scope tag supported in v3.<br>x?	2	-1	 is[0] scons_cache_scope[0] tag[0] supported[1] in[0] v3[0] [[Sentence=-1,2=word max, 1-5]] x[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Since we are running into some CentOS8 combination issue, had to go through this diff. But Can you please letus know if scons_cache_scope tag supported in v3.x? Because searching this tag in v3.6 branch doesn't give any references in the build scripts. But i see the code in 4.x onwards. Is it a merge issue?	Since we are running into some CentOS8 combination issue, had to go through this diff.<br> But Can you please letus know if scons_cache_scope tag supported in v3.<br>x?<br> Because searching this tag in v3.6 branch doesn't give any references in the build scripts.<br> But i see the code in 4.<br>x onwards.<br> Is it a merge issue?	2	-1	 Since[0] we[0] are[0] running[0] into[0] some[0] CentOS8[0] combination[0] issue[0] had[0] to[0] go[0] through[0] this[0] diff[0] [[Sentence=-1,1=word max, 1-5]] But[0] Can[0] you[0] please[1] letus[0] know[0] if[0] scons_cache_scope[0] tag[0] supported[1] in[0] v3[0] [[Sentence=-1,2=word max, 1-5]] x[1] [[Sentence=-1,2=word max, 1-5]] Because[0] searching[0] this[0] tag[0] in[0] v3[0] .6[0] branch[0] doesn't[0] give[0] any[0] references[0] in[0] the[0] build[0] scripts[0] [[Sentence=-1,1=word max, 1-5]] But[0] i[0] see[0] the[0] code[0] in[0] 4[0] [[Sentence=-1,1=word max, 1-5]] x[1] onwards[0] [[Sentence=-1,2=word max, 1-5]] Is[0] it[0] a[0] merge[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Could these new parameters be optional?	Could these new parameters be optional?	1	-1	 Could[0] these[0] new[0] parameters[0] be[0] optional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
They could be, but we're always passing them and we always know it so I didn't make them optional.	They could be, but we're always passing them and we always know it so I didn't make them optional.	1	-1	 They[0] could[0] be[0] but[0] we're[0] always[0] passing[0] them[0] and[0] we[0] always[0] know[0] it[0] so[0] I[0] didn't[0] make[0] them[0] optional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This broke the ODM since the two builder classes now have different method signatures for this method.	This broke the ODM since the two builder classes now have different method signatures for this method.	1	-2	 This[0] broke[-1] the[0] ODM[0] since[0] the[0] two[0] builder[0] classes[0] now[0] have[0] different[0] method[0] signatures[0] for[0] this[0] method[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
submodule pointer from odm master wasn't updated to this commit at that pointso that shouldn't have broken anything	submodule pointer from odm master wasn't updated to this commit at that pointso that shouldn't have broken anything	1	-2	 submodule[0] pointer[0] from[0] odm[0] master[0] wasn't[0] updated[0] to[0] this[0] commit[0] at[0] that[0] pointso[0] that[0] shouldn't[0] have[0] broken[-1] anything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i dont use the submodules else i would have 4 of each repository :)	i dont use the submodules else i would have 4 of each repository repository	2	-1	 i[0] dont[0] use[0] the[0] submodules[0] else[0] i[0] would[0] have[0] 4[0] of[0] each[0] repository[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then don't update as frequently, we'll tag stuff when its ready.	then don't update as frequently, we'll tag stuff when its ready.	1	-1	 then[0] don't[0] update[0] as[0] frequently[0] we'll[0] tag[0] stuff[0] when[0] its[0] ready[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
updated here for your development pleasure:) - 44d21f4b35a0c13c1c40453b0854413083e73eea	updated here for your development pleasurepleasure - 44d21f4b35a0c13c1c40453b0854413083e73eea	4	-1	 updated[0] here[0] for[0] your[0] development[0] pleasure[2][+1 Emoticon] 44d21f4b35a0c13c1c40453b0854413083e73eea[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
No typo there, try running it	No typo there, try running it	1	-1	 No[0] typo[0] there[0] try[0] running[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what version of mongo are you running?	what version of mongo are you running?	1	-1	 what[0] version[0] of[0] mongo[0] are[0] you[0] running[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I will have to make it bc then, as 1.7.3  changes the results array a little, thanks for pointing it out	I will have to make it bc then, as 1.7.3  changes the results array a little, thanks for pointing it out	2	-1	 I[0] will[0] have[0] to[0] make[0] it[0] bc[0] then[0] as[0] 1[0] .7[0] .3[0] changes[0] the[0] results[0] array[0] a[0] little[0] thanks[1] for[0] pointing[0] it[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Hmm, I am not sure about making it BC. The MongoDB ODM is still none stable software and I would like to keep it up to date with only the current stable mongodb version.	Hm, I am not sure about making it BC.<br> The MongoDB ODM is still none stable software and I would like to keep it up to date with only the current stable mongodb version.	1	-2	 Hmm/Hm[0] I[0] am[0] not[0] sure[0] about[0] making[0] it[0] BC[0] [[Sentence=-1,1=word max, 1-5]] The[0] MongoDB[0] ODM[0] is[0] still[0] none[0] stable[-1] software[0] and[0] I[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] keep[0] it[0] up[0] to[0] date[0] with[0] only[0] the[0] current[0] stable[-1] mongodb[0] version[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fair enough, I would advice upgrading mongodb then, or downgrading the version of odm	fair enough, I would advice upgrading mongodb then, or downgrading the version of odm	1	-1	 fair[0] enough[0] I[0] would[0] advice[0] upgrading[0] mongodb[0] then[0] or[0] downgrading[0] the[0] version[0] of[0] odm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This test is failing. Instead of what the test expects, I see:   array(' and'    array(array('hits'    array(' gte'    1),),array('hits'    array(' lt'    5),),),)   Is the issue with the test or the code?	This test is failing.<br> Instead of what the test expects, I see:   array(' and'    array(array('hits'    array(' gte'    1)array('hits'    array(' lt'    5)   Is the issue with the test or the code?	1	-3	 This[0] test[0] is[0] failing[-2] [[Sentence=-3,1=word max, 1-5]] Instead[0] of[0] what[0] the[0] test[0] expects[0] I[0] see[0] array[0] '[0] and'[0] array[0] array[0] 'hits'[0] array[0] '[0] gte'[0] 1[0] array[0] 'hits'[0] array[0] '[0] lt'[0] 5[0] Is[0] the[0] issue[0] with[0] the[0] test[0] or[0] the[0] code[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
Looks like an issue with the test.On Dec 3, 2011, at 12:56 PM, Excel Web Zonereply@reply.github.comwrote:  Weird.. the AND should work the same as the OR  ---   Reply to this email directly or view it on GitHub:  https://github.com/doctrine/mongodb/commit/96dffd456dd1da91bceedd04bdbd26d6ab7697e1#commitcomment-766502	Looks like an issue with the test.<br>On Dec 3, 2011, at 12:56 PM, Excel Web Zonereply@reply.<br>github.<br>comwrote:  Weird.<br> the AND should work the same as the OR  -   Reply to this email directly or view it on GitHub:  https://github.<br>com/doctrine/mongodb/commit/96dffd456dd1da91bceedd04bdbd26d6ab7697e1#commitcomment-766502	3	-2	 Looks[0] like[1] an[0] issue[0] with[0] the[0] test[0] [[Sentence=-1,2=word max, 1-5]] On[0] Dec[0] 3[0] 2011[0] at[0] 12[0] :56[0] PM[0] Excel[2] Web[0] Zonereply@reply[0] [[Sentence=-1,3=word max, 1-5]] github[0] [[Sentence=-1,1=word max, 1-5]] comwrote[0] Weird[-1] [[Sentence=-2,1=word max, 1-5]] the[0] AND[0] should[0] work[0] the[0] same[0] as[0] the[0] OR[0] Reply[0] to[0] this[0] email[0] directly[0] or[0] view[0] it[0] on[0] GitHub[0] https[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/doctrine/mongodb/commit/96dffd456dd1da91bceedd04bdbd26d6ab7697e1#commitcomment[0] -766502[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
My mistake. I was searching ODM for the class extending Database and missed searching this repository :\	My mistake.<br> I was searching ODM for the class extending Database and missed searching this repository repository	1	-2	 My[0] mistake[-1] [[Sentence=-2,1=word max, 1-5]] I[0] was[0] searching[0] ODM[0] for[0] the[0] class[0] extending[0] Database[0] and[0] missed[-1] searching[0] this[0] repository[0][-1 Emoticon] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I didn't test it for moment, I'm going to see that !Thank you a lot for this !	I didn't test it for moment, I'm going to see that !<br>Thank you a lot for this !	2	-1	 I[0] didn't[0] test[0] it[0] for[0] moment[0] I'm[0] going[0] to[0] see[0] that[0] [[Sentence=-1,1=word max, 1-5]] Thank[1] you[0] a[0] lot[0] for[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I realize this is an old commit, but should this logic be moved into the GridFS class? We can override this method and then remove the file data from the chunks collection before passing along the return value.	I realize this is an old commit, but should this logic be moved into the GridFS class?<br> We can override this method and then remove the file data from the chunks collection before passing along the return value.	2	-1	 I[0] realize[0] this[0] is[0] an[0] old[0] commit[0] but[0] should[0] this[0] logic[0] be[0] moved[0] into[0] the[0] GridFS[0] class[0] [[Sentence=-1,1=word max, 1-5]] We[0] can[0] override[0] this[0] method[0] and[0] then[0] remove[0] the[0] file[0] data[0] from[0] the[0] chunks[0] collection[0] before[0] passing[0] along[0] the[0] return[0] value[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Sure.	Sure.	1	-1	 Sure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This seems to break a legitimate upsert:    m   new Mongo(); g    m- test- getGridFS(); g- drop(); g- update(['x'  1], ['_id'  1], ['upsert'  true, 'safe'  true]);   That should result in  ['_id'  1]  being inserted into  fs.files  (the match criteria is disregarded, since   newObj  takes precedence).	This seems to break a legitimate upsert:    m   new Mongo( grin�    m- test- getGridFS( grin�- drop( grin�- update(['x'  1], ['_id'  1], ['upsert'  true, 'safe'  true])   That should result in  ['_id'  1]  being inserted into  fs.<br>files  (the match criteria is disregarded, since   newObj  takes precedence)	2	-2	 This[0] seems[0] to[0] break[0] a[0] legitimate[0] upsert[0] m[0] new[0] Mongo[0] g[0] m[0] test[0] getGridFS[0] g[0] drop[-1] g[0] update[0] (['x'[0] 1][0] ['_id'[0] 1][0] ['upsert'[0] true[1] 'safe'[0] true][0] That[0] should[0] result[0] in[0] ['_id'[0] 1][0] being[0] inserted[0] into[0] fs[0] [[Sentence=-2,2=word max, 1-5]] files[0] the[0] match[0] criteria[0] is[0] disregarded[-1] since[0] newObj[0] takes[0] precedence[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
Why would this be a problem? If   set 's argument is an empty array, no fields will be set. Using  \stdClass()  would be more appropriate if we were actually setting a field to an empty array and mean it to be an empty object.	Why would this be a problem?<br> If   set 's argument is an empty array, no fields will be set.<br> Using  \stdClass(  would be more appropriate if we were actually setting a field to an empty array and mean it to be an empty object.	1	-2	 Why[0] would[0] this[0] be[0] a[0] problem[-1] [[Sentence=-2,1=word max, 1-5]] If[0] set[0] 's[0] argument[-1] is[0] an[0] empty[0] array[0] no[0] fields[0] will[0] be[0] set[0] [[Sentence=-2,1=word max, 1-5]] Using[0] \stdClass[0] would[0] be[0] more[0] appropriate[0] if[0] we[0] were[0] actually[0] setting[0] a[0] field[0] to[0] an[0] empty[0] array[0] and[0] mean[0] it[0] to[0] be[0] an[0] empty[0] object[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
@jwage: Any reason in particular that this conditional omits   this- isDirty ? The  getSize()  method requires a dirty state before returning  filesize( this- filename) .	@jwage: Any reason in particular that this conditional omits   this- isDirty ?<br> The  getSize(  method requires a dirty state before returning  filesize( this- filename) .	1	-2	 @jwage[0] Any[0] reason[0] in[0] particular[0] that[0] this[0] conditional[0] omits[0] this[0] isDirty[0] [[Sentence=-1,1=word max, 1-5]] The[0] getSize[0] method[0] requires[0] a[0] dirty[-1] state[0] before[0] returning[0] filesize[0] this[0] filename[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Is there any precedent for constructing MongoGridFSFile manually? The [essential metadata](http://www.mongodb.org/display/DOCS/GridFS Specification#GridFSSpecification-{{files}}) is going to be missing, and it won't correspond to an actual file in MongoDB, so calling  getSize()  on it will return  null  and  getBytes()  will result in a MongoGridFSException ("couldn't find file size").	Is there any precedent for constructing MongoGridFSFile manually?<br> The [essential metadata](http://w.<br>mongodb.<br>org/display/DOCS/GridFS Specification#GridFSSpecification-{{files}}) is going to be missing, and it won't correspond to an actual file in MongoDB, so calling  getSize(  on it will return  null  and  getBytes(  will result in a MongoGridFSException (couldn't find file size"	1	-1	 Is[0] there[0] any[0] precedent[0] for[0] constructing[0] MongoGridFSFile[0] manually[0] [[Sentence=-1,1=word max, 1-5]] The[0] [essential[0] metadata][0] http[0] ://www/://w[0] [[Sentence=-1,1=word max, 1-5]] mongodb[0] [[Sentence=-1,1=word max, 1-5]] org/display/DOCS/GridFS[0] Specification#GridFSSpecification[0] -{{files}}[0] is[0] going[0] to[0] be[0] missing[0] and[0] it[0] won't[0] correspond[0] to[0] an[0] actual[0] file[0] in[0] MongoDB[0] so[0] calling[0] getSize[0] on[0] it[0] will[0] return[0] null[0] and[0] getBytes[0] will[0] result[0] in[0] a[0] MongoGridFSException[0] couldn't[0] find[0] file[0] size[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I think I was trying to avoid refetching from the database after storing in order to get the objects I needed.	I think I was trying to avoid refetching from the database after storing in order to get the objects I needed.	1	-2	 I[0] think[0] I[0] was[0] trying[0] to[0] avoid[-1] refetching[0] from[0] the[0] database[0] after[0] storing[0] in[0] order[0] to[0] get[0] the[0] objects[0] I[0] needed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I don't think so.	I don't think so.	1	-1	 I[0] don't[0] think[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I think this is breaking my ability to use doctrine/mongodb.i currently have ext-mongo 1.2, so i run a composer, it says"doctrine/mongodb dev-master requires ext-mongo   1.3.1, 1.4-dev"so i update ext-mongo to 1.3.1 and run composer again and now it says"doctrine/mongodb 1.0.0-BETA2 requires ext-mongo   1.2.12, 1.3-dev"So I'm kinda screwed because of this change :(Halp.	I think this is breaking my ability to use doctrine/mongodb.<br>i currently have ext-mongo 1.2, so i run a composer, it says"doctrine/mongodb dev-master requires ext-mongo   1.3.1, 1.4-dev"so i update ext-mongo to 1.3.1 and run composer again and now it says"doctrine/mongodb 1.0.0-BETA2 requires ext-mongo   1.2.12, 1.3-dev"So I'm kinda screwed because of this change :Halp.	1	-1	 I[0] think[0] this[0] is[0] breaking[0] my[0] ability[0] to[0] use[0] doctrine/mongodb[0] [[Sentence=-1,1=word max, 1-5]] i[0] currently[0] have[0] ext[0] mongo[0] 1[0] .2[0] so[0] i[0] run[0] a[0] composer[0] it[0] says[0] doctrine/mongodb[0] dev[0] master[0] requires[0] ext[0] mongo[0] 1[0] .3[0] .1[0] 1[0] .4[0] dev[0] so[0] i[0] update[0] ext[0] mongo[0] to[0] 1[0] .3[0] .1[0] and[0] run[0] composer[0] again[0] and[0] now[0] it[0] says[0] doctrine/mongodb[0] 1[0] .0[0] .0[0] BETA2[0] requires[0] ext[0] mongo[0] 1[0] .2[0] .12[0] 1[0] .3[0] dev[0] So[0] I'm[0] kinda[0] screwed[0] because[0] of[0] this[0] change[0] Halp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Does  pecl install mongo-1.2.12  work?	Does  pecl install mongo-1.2.12  work?	1	-1	 Does[0] pecl[0] install[0] mongo[0] -1[0] .2[0] .12[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
No, because then I get this error from dev-master:"doctrine/mongodb dev-master requires ext-mongo   1.3.1, 1.4-dev"It's a catch 22.	No, because then I get this error from dev-master:doctrine/mongodb dev-master requires ext-mongo   1.3.1, 1.4-dev"It's a catch 22.	1	-2	 No[0] because[0] then[0] I[0] get[0] this[0] error[-1] from[0] dev[0] master[0] doctrine/mongodb[0] dev[0] master[0] requires[0] ext[0] mongo[0] 1[0] .3[0] .1[0] 1[0] .4[0] dev[0] It's[0] a[0] catch[0] 22[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
You would have to downgrade doctrine/mongodb to 1.0.0-BETA2. The error above looks like it's due to using the master branch, which now requires 1.3.1  of the PHP driver (which ODM doesn't yet support).	You would have to downgrade doctrine/mongodb to 1.0.0-BETA2.<br> The error above looks like it's due to using the master branch, which now requires 1.3.1  of the PHP driver (which ODM doesn't yet support)	2	-2	 You[0] would[0] have[0] to[0] downgrade[0] doctrine/mongodb[0] to[0] 1[0] .0[0] .0[0] BETA2[0] [[Sentence=-1,1=word max, 1-5]] The[0] error[-1] above[0] looks[0] like[1] it's[0] due[0] to[0] using[0] the[0] master[0] branch[0] which[0] now[0] requires[0] 1[0] .3[0] .1[0] of[0] the[0] PHP[0] driver[0] which[0] ODM[0] doesn't[0] yet[0] support[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Why can't we made a new tag/branch for this commit without backward compatibility? Performance more important aren't it?	Why can't we made a new tag/branch for this commit without backward compatibility?<br> Performance more important aren't it?	1	-1	 Why[0] can't[0] we[0] made[0] a[0] new[0] tag/branch[0] for[0] this[0] commit[0] without[0] backward[0] compatibility[0] [[Sentence=-1,1=word max, 1-5]] Performance[0] more[0] important[0] aren't[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
