Body	Label	Score	Translation	Positive	Negative	EmotionRationale
Ok. If you do, please update  package.json  to specify that 1.0 and 1.1 of io.js are not supported.	NEGATIVE	0.8602636456489563	Ok.<br> If you do, please update  package.<br>json  to specify that 1.0 and 1.1 of io.<br>js are not supported.	2	-2	 Ok[0] [[Sentence=-1,1=word max, 1-5]] If[0] you[0] do[0] please[1] update[0] package[0] [[Sentence=-1,2=word max, 1-5]] json[0] to[0] specify[0] that[0] 1[0] .0[0] and[0] 1[0] .1[0] of[0] io[0] [[Sentence=-1,1=word max, 1-5]] js[0] are[0] not[0] supported[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
I'll use this in mysql2 if you don't mind :)	NEGATIVE	0.9967144131660461	I'll use this in mysql2 if you don't mind mind	2	-1	 I'll[0] use[0] this[0] in[0] mysql2[0] if[0] you[0] don't[0] mind[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Please do :) I'm 99% sure the Node.js community stole setting up istanbul   coveralls.io from me last year :) And it's been awesome to see people interested in getting code coverage going :D	POSITIVE	0.9988171458244324	Please do do I'm 99% sure the Node.<br>js community stole setting up istanbul   coveralls.<br>io from me last year year And it's been awesome to see people interested in getting code coverage going going	3	-2	 Please[1] do[0][+1 Emoticon] I'm[0] 99%[0] sure[0] the[0] Node[0] [[Sentence=-1,2=word max, 1-5]] js[0] community[0] stole[-1] setting[0] up[0] istanbul[0] coveralls[0] [[Sentence=-2,1=word max, 1-5]] io[0] from[0] me[0] last[0] year[0][+1 Emoticon] And[0] it's[0] been[0] awesome[2] to[0] see[0] people[0] interested[1] in[0] getting[0] code[0] coverage[0] going[0][+1 Emoticon] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
P.S. I may make tweaks to the config once it actually starts running on AppVeyor :) So far this configuration was based off Express.js stuff and the MySQL parts are all just guesses D:	NEGATIVE	0.9989379644393921	P.<br>S.<br> I may make tweaks to the config once it actually starts running on AppVeyor AppVeyor So far this configuration was based off Express.<br>js stuff and the MySQL parts are all just guesses D:	2	-1	 P[0] [[Sentence=-1,1=word max, 1-5]] S[0] [[Sentence=-1,1=word max, 1-5]] I[0] may[0] make[0] tweaks[0] to[0] the[0] config[0] once[0] it[0] actually[0] starts[0] running[0] on[0] AppVeyor[0][+1 Emoticon] So[0] far[0] this[0] configuration[0] was[0] based[0] off[0] Express[0] [[Sentence=-1,2=word max, 1-5]] js[0] stuff[0] and[0] the[0] MySQL[0] parts[0] are[0] all[0] just[0] guesses[0] D[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
thanks :) I'll wait for first test results	NEGATIVE	0.6420706510543823	thanks thanks I'll wait for first test results	3	-1	 thanks[1][+1 Emoticon] I'll[0] wait[0] for[0] first[0] test[0] results[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
:disappointed: https://youtu.be/xeKMS62GrTI@jperras but "both" is too much. lol	NEGATIVE	0.9996888041496277	:disappointed: https://youtu.<br>be/xeKMS62GrTI@jperras but "both" is too much.<br> laugh out loud	2	-2	 disappointed[-1] https[0] ://youtu[0] [[Sentence=-2,1=word max, 1-5]] be/xeKMS62GrTI@jperras[0] but[0] both[0] is[0] too[0] much[0] [[Sentence=-1,1=word max, 1-5]] lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
: 1:	POSITIVE	0.9945157170295715	: 1:	1	-1	 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
\o/	NEGATIVE	0.6763930320739746	\o/	1	-1	 \o/[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can this be called out of order? Two compressed packets arrive one after another, cp1, cp2    cp1.inflate called, cp2 .inflate called; cp2.inflate pushes result before cp1 ?	NEGATIVE	0.9987939596176147	can this be called out of order?<br> Two compressed packets arrive one after another, cp1, cp2    cp1.<br>inflate called, cp2 .<br>inflate called; cp2.<br>inflate pushes result before cp1 ?	1	-1	 can[0] this[0] be[0] called[0] out[0] of[0] order[0] [[Sentence=-1,1=word max, 1-5]] Two[0] compressed[0] packets[0] arrive[0] one[0] after[0] another[0] cp1[0] cp2[0] cp1[0] [[Sentence=-1,1=word max, 1-5]] inflate[0] called[0] cp2[0] [[Sentence=-1,1=word max, 1-5]] inflate[0] called[0] cp2[0] [[Sentence=-1,1=word max, 1-5]] inflate[0] pushes[0] result[0] before[0] cp1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This still needs a lot of tests added, but this impl will only allow a single outstanding inflate at a time, which is what the  _inflating  guard is doing.	NEGATIVE	0.9975545406341553	This still needs a lot of tests added, but this impl will only allow a single outstanding inflate at a time, which is what the  _inflating  guard is doing.	3	-1	 This[0] still[0] needs[0] a[0] lot[0] of[0] tests[0] added[0] but[0] this[0] impl[0] will[0] only[0] allow[0] a[0] single[0] outstanding[2] inflate[0] at[0] a[0] time[0] which[0] is[0] what[0] the[0] _inflating[0] guard[0] is[0] doing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
	POSITIVE	0.7481210827827454		1	-1	
